Иностранное ПО,Российский аналог,Описание,Категория,Ссылка для скачивания
MATLAB Toolboxes,ЛОГОС Modules,Набор различных модулей и решателей для конкретных типов расчетов в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
Maximo Asset Management,TRIM,Система электронного документооборота и управления корпоративным контентом (ECM).,"Другое (офисные пакеты, утилиты и пр.)",-
Maximo Asset Management,Галактика ТехОбслуживание,Модуль для управления техническим обслуживанием и ремонтами оборудования (ТОиР).,Управление бизнесом,https://galaktika.ru/
McAfee,Dr.Web Enterprise,"Корпоративное решение для централизованной защиты всех узлов сети от вирусов, спама и хакерских атак.",Безопасность,https://drweb.ru/
McAfee,Kaspersky Security,"Общее название для семейства продуктов безопасности для бизнеса (например, для почты, веб-шлюзов и т.д.).",Безопасность,https://www.kaspersky.ru/
McAfee Enterprise,Security Vision,"Комплексная платформа для мониторинга и управления информационной безопасностью организации (SIEM, SOAR).",Безопасность,https://securityvision.ru/
McAfee Enterprise,Касперский Endpoint,"Решение для защиты конечных точек (рабочих станций, серверов) от киберугроз.",Безопасность,https://www.kaspersky.ru/
Medium,Dzen,Платформа для ведения блогов и персонализированной ленты новостей (контента) от Яндекса.,"Другое (офисные пакеты, утилиты и пр.)",
Medium,Teletype,"Текстовый редактор с фокусом на минимализм и скорость работы, основанный на Atom.",Средства разработки,-
Medtronic CareLink,МедКонтроль,Система для контроля качества медицинской помощи и управления клиническими процессами.,Здравоохранение и медицина,-
Medtronic CareLink,Телемедика,Платформа для оказания удаленных медицинских консультаций (телемедицина).,Здравоохранение и медицина,-
Mendeley,eLIBRARY,"Крупнейшая российская научная электронная библиотека, предоставляющая доступ к статьям, диссертациям и монографиям.",Научные исследования и данные,https://elibrary.ru/
Mendeley,РИНЦ Библио,Инструмент для анализа библиометрических показателей и научной активности на основе РИНЦ.,Научные исследования и данные,https://elibrary.ru/
MetaTrader,QUIK,"Популярный торговый терминал для работы на российском и международном фондовом, валютном и срочном рынках.",Аналитика и BI,https://quik.ru/
MetaTrader,SmartX,"Онлайн-университет, предлагающий курсы и образовательные программы по различным IT- и digital-профессиям.",Облачные платформы и инфраструктура,-
Microsoft Active Directory,Astra Directory,Система управления идентификацией и доступом для централизованного управления пользователями и правами в корпоративной сети.,Облачные платформы и инфраструктура,https://astralinux.ru/
Microsoft Active Directory,РЕД Domain,Решение для управления доменными службами и идентификацией в ОС РЕД ОС.,Облачные платформы и инфраструктура,https://redos.ru/
Microsoft Azure,VK Cloud,"Публичное облако от VK для размещения виртуальной инфраструктуры, приложений и данных.",Облачные платформы и инфраструктура,https://mcs.mail.ru/
Microsoft Azure,Ростелеком Облако,Публичное облако от Ростелекома для бизнеса.,Облачные платформы и инфраструктура,https://rt.ru/
Microsoft Azure Government,Astra Cloud,"Российское облачное решение для размещения инфраструктуры, приложений и данных с обеспечением безопасности и соответствия требованиям.",Облачные платформы и инфраструктура,https://astralinux.ru/
Microsoft Azure Government,VK Cloud Gov,"Облачная платформа, соответствующая строгим требованиям для государственных информационных систем (ГИС).",Облачные платформы и инфраструктура,https://mcs.mail.ru/
Microsoft Defender,Kaspersky Security Center,Центр управления для администрирования и развертывания продуктов Kaspersky в корпоративной сети.,Безопасность,https://www.kaspersky.ru/
Microsoft Dynamics 365 Finance,1С:ERP,Комплексное программное решение от компании «1С» для автоматизации бизнес-процессов и управления деятельностью предприятий. Расшифровывается как «планирование ресурсов предприятия».,ERP,https://1c.ru/
Microsoft Dynamics 365 Finance,БОСС-Корпорация,"Интегрированная система управления для автоматизации финансового, управленческого учета и бизнес-процессов предприятия.",Управление бизнесом,-
Microsoft Excel,МойОфис Таблица,Приложение для работы с электронными таблицами в пакете МойОфис.,"Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Microsoft Excel,Р7-Офис Таблицы,Модуль для работы с электронными таблицами в Р7-Офис.,"Другое (офисные пакеты, утилиты и пр.)",https://r7-office.ru/
Microsoft Exchange Server,CommuniGate Pro,"Серверное ПО для организации корпоративной коммуникации: почта, календари, контакты, видеоконференции и VoIP.",Коммуникации и коллаборация,https://communigate.com/
Microsoft Exchange Server,МойОфис Почта,Клиент электронной почты и персональный информационный менеджер от МойОфис.,"Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Microsoft Office,МойОфис,"Российский офисный пакет, включающий редакторы текстов, таблиц и презентаций.","Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Microsoft Office,Р7-Офис,"Российский офисный пакет, включающий веб-версии и десктопные приложения для работы с документами.","Другое (офисные пакеты, утилиты и пр.)",https://r7-office.ru/
Microsoft Outlook,CommuniGate Pro,"Серверное ПО для организации корпоративной коммуникации: почта, календари, контакты, видеоконференции и VoIP.",Коммуникации и коллаборация,https://communigate.com/
Microsoft Outlook,МойОфис Почта,Клиент электронной почты и персональный информационный менеджер от МойОфис.,"Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Microsoft PowerPoint,МойОфис Презентации,Приложение для создания и редактирования презентаций в пакете МойОфис.,"Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Microsoft PowerPoint,Р7-Офис Презентации,Модуль для создания и редактирования презентаций в Р7-Офис.,"Другое (офисные пакеты, утилиты и пр.)",https://r7-office.ru/
Microsoft Project,Megaplan,"CRM-система и платформа для управления бизнес-процессами, проектами, задачами и клиентами.",Управление бизнесом,https://megaplan.ru/
Microsoft Project,PlanFix,"Универсальная платформа для автоматизации бизнеса, объединяющая управление задачами, процессами, CRM и документооборотом.",Управление бизнесом,https://planfix.ru/
Microsoft SharePoint,Р7-Офис Портал,Корпоративный портал для совместной работы и коммуникаций в рамках Р7-Офис.,"Другое (офисные пакеты, утилиты и пр.)",https://r7-office.ru/
Microsoft SharePoint,ЭОС ДЕЛО,Система электронного документооборота и управления корпоративным контентом (ECM).,"Другое (офисные пакеты, утилиты и пр.)",https://eos.ru/
Microsoft SQL Server,Postgres Pro,Российская версия системы управления базами данных PostgreSQL с дополнительными оптимизациями и функциями.,Базы данных,https://postgrespro.ru/
Microsoft SQL Server,Линтер,Статический анализатор кода для поиска ошибок и уязвимостей в программном обеспечении.,Средства разработки,-
Microsoft Teams,TrueConf,Программное обеспечение для организации видеоконференцсвязи и онлайн-встреч.,Коммуникации и коллаборация,https://trueconf.ru/
Microsoft Teams,VideoMost,"Платформа для корпоративных видео-коммуникаций, видеоконференций и совместной работы.",Коммуникации и коллаборация,https://videomost.com/
Microsoft Teams,Vinteo,"Программное обеспечение для видеоконференцсвязи и совместной работы, включая интеграцию с оборудованием.",Коммуникации и коллаборация,https://vinteo.com/
Microsoft Teams,Яндекс.Телемост,Сервис для проведения видеоконференций и онлайн-встреч от Яндекса.,Коммуникации и коллаборация,https://yandex.ru/
Microsoft Teams Voice,TrueConf Server,Серверное ПО для развертывания самостоятельной (on-premise) системы видеоконференцсвязи.,Коммуникации и коллаборация,https://trueconf.ru/
Microsoft Teams Voice,Vinteo,"Программное обеспечение для видеоконференцсвязи и совместной работы, включая интеграцию с оборудованием.",Коммуникации и коллаборация,https://vinteo.com/
Microsoft Visio,Draw.io (локал.),"Локализованная или локальная версия популярного веб-приложения для создания диаграмм, блок-схем и инфографики.","Другое (офисные пакеты, утилиты и пр.)",https://www.drawio.com/
Microsoft Visio,R7-Офис Диаграммы,Модуль для создания и редактирования диаграмм и графиков в составе офисного пакета R7-Офис.,"Другое (офисные пакеты, утилиты и пр.)",https://r7-office.ru/
Microsoft Windows,Astra Linux,"Семейство российских операционных систем, основанных на Linux, с сертификатами ФСТЭК и ориентированных на безопасность.",Операционные системы,https://astralinux.ru/
Microsoft Windows,Альт 8,"Дистрибутив операционной системы семейства ALT Linux, версия 8.",Операционные системы,https://www.altlinux.org/
Microsoft Windows,РЕД ОС,Российский сертифицированный дистрибутив операционной системы на базе Linux для корпоративного использования.,Операционные системы,https://redos.ru/
Microsoft Word,МойОфис Текст,Текстовый процессор для создания и редактирования документов в пакете МойОфис.,"Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Microsoft Word,Р7-Офис Документы,Модуль для совместной работы над текстовыми документами в Р7-Офис.,"Другое (офисные пакеты, утилиты и пр.)",https://r7-office.ru/
MongoDB,ClickHouse,"Высокопроизводительная система управления базами данных, ориентированная на онлайн-аналитическую обработку (OLAP).",Базы данных,https://clickhouse.com/
MongoDB,Tarantool,"Высокопроизводительная платформа для управления данными и разработки приложений, совмещающая СУБД и сервер приложений.",Базы данных,https://tarantool.io/
Moodle,iSpring Learn,"Система дистанционного обучения (LMS) для создания, проведения и управления онлайн-курсами и тестированиями.",Образование и LMS,https://www.ispring.ru/
Moodle,Stepik PRO,"Премиум-версия платформы Stepik с расширенной аналитикой, поддержкой и функциями для бизнеса и ВУЗов.",Образование и LMS,https://stepik.org/
Moodle,"СДО ""Мирополис""",Система дистанционного обучения на базе платформы Mirapolis.,Образование и LMS,https://mirapolis.ru/
Moody’s RiskCalc,СКБ Контур РискАналитика,Сервис для анализа финансовых рисков и проверки контрагентов от СКБ Контур.,Аналитика и BI,https://kontur.ru/
Morningstar Direct,Finam PRO,Профессиональная платформа для трейдинга на финансовых рынках с расширенными инструментами анализа и торговли.,Аналитика и BI,https://www.finam.ru/
Morningstar Direct,БКС Аналитика,Сервис аналитики и новостей для трейдеров и инвесторов от брокерской компании БКС.,Аналитика и BI,https://bcs.ru/
Mozilla Firefox,Atom,"Текстовый редактор с открытым исходным кодом, разработанный GitHub, известный своей гибкостью и поддержкой плагинов.",Средства разработки,https://github.com/atom/atom
Mozilla Firefox,Sputnik,Российская интернет-поисковая система и портал.,"Другое (офисные пакеты, утилиты и пр.)",https://sputnik.ru/
MySQL,MariaDB (рос. сборка),Российская версия или сборка популярной системы управления реляционными базами данных с открытым исходным кодом.,Базы данных,https://mariadb.org/
MySQL,Postgres Pro,Российская версия системы управления базами данных PostgreSQL с дополнительными оптимизациями и функциями.,Базы данных,https://postgrespro.ru/
Nagios,Monq,"Платформа для мониторинга ИТ-инфраструктуры и бизнес-сервисов, сбора метрик и оповещения о проблемах.",Безопасность,-
Nagios,Zabbix RU,Российская версия или сообщество вокруг системы мониторинга ИТ-инфраструктуры Zabbix.,Управление бизнесом,https://zabbix.com/
Netflix,Start.ru,"Платформа или сервис для создания и продвижения сайтов (возможно, устаревшее или нишевое решение).","Другое (офисные пакеты, утилиты и пр.)",https://start.ru/
Netflix,Кинопоиск HD,"Онлайн-кинотеатр с подпиской, интегрированный с базой данных фильмов Кинопоиск.","Другое (офисные пакеты, утилиты и пр.)",https://kinopoisk.ru/
NICE inContact,Naumen Contact Center,"Платформа для построения корпоративного контакт-центра, управляющая всеми каналами связи с клиентами.",Коммуникации и коллаборация,https://www.naumen.ru/
NICE inContact,OKtell,"Платформа для организации колл-центров и многоканальных коммуникаций с клиентами (телефония, чаты, email).",Коммуникации и коллаборация,https://oktell.ru/
Notion,Bitrix24,"Многофункциональная платформа для управления бизнес-процессами, включающая CRM, задачи, коммуникации и инструменты продуктивности.",Управление бизнесом,https://www.bitrix24.ru/
Notion,Платформа WEEEK,Базовая платформа для управления задачами и проектами WEEEK.,Управление проектами,https://weekme.ru/
Notion Enterprise,Bitrix24,"Многофункциональная платформа для управления бизнес-процессами, включающая CRM, задачи, коммуникации и инструменты продуктивности.",Управление бизнесом,https://www.bitrix24.ru/
Notion Enterprise,Платформа WEEEK,Базовая платформа для управления задачами и проектами WEEEK.,Управление проектами,https://weekme.ru/
NVIDIA CUDA,Yadro Compute SDK,"Набор инструментов для разработчиков, работающих с вычислительными решениями и оборудованием от YADRO.",Средства разработки,https://yadro.com/
NVIDIA CUDA,Компилятор «Эльбрус»,"Компилятор для процессоров архитектуры «Эльбрус», обеспечивающий оптимизацию кода для данной платформы.",Средства разработки,https://mcst.ru/
NX Siemens,nanoCAD,"Базовая российская система автоматизированного проектирования (САПР), совместимая с форматом DWG.",CAD/CAM/CAE/PLM,https://nanocad.ru/
NX Siemens,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
OBS Studio,Movavi Screen Recorder,"Утилита для записи видео с экрана компьютера, часто с возможностью захвата звука и веб-камеры.",Мультимедиа и графика,https://www.movavi.ru/
OBS Studio,TrueConf Studio,Клиентское приложение для участия в видеоконференциях и многопользовательских видеочатах.,Коммуникации и коллаборация,https://trueconf.ru/
Omnitracs,RuTrack,"Система телематики и мониторинга транспорта для контроля расхода топлива, маршрутов и стиля вождения.",Транспорт и телематика,-
Omnitracs,Wialon Transport,Специализированное решение для мониторинга общественного и коммерческого транспорта.,Транспорт и телематика,https://gurtam.com/
OneDrive,Р7-Облако,Облачная платформа от компании Р7 для размещения ИТ-инфраструктуры и приложений.,Облачные платформы и инфраструктура,https://r7-office.ru/
OneDrive,Яндекс.Диск,Облачное хранилище файлов с возможностью синхронизации и общего доступа.,"Другое (офисные пакеты, утилиты и пр.)",https://yandex.ru/
OpenAI GPT,GigaChat,"Многофункциональная нейросетевая модель (генеративный ИИ) от Сбера, способная вести диалог и решать различные задачи.",Искусственный интеллект (AI),https://cloud.gigachat.ru/
OpenAI GPT,YaLM,"Большая языковая модель (LLM) от Яндекса, аналогичная GPT, для генерации и понимания текста.",Искусственный интеллект (AI),https://yandex.ru/
OpenAI Whisper,Silero Speech,Платформа для управления облачными ресурсами и сервисами Selectel.,Искусственный интеллект (AI),https://silero.ai/
OpenAI Whisper,Яндекс SpeechKit,Технология распознавания и синтеза речи от Яндекса.,Искусственный интеллект (AI),https://yandex.ru/
OpenCascade,T-FLEX API,Программный интерфейс для автоматизации и интеграции систем T-FLEX с другим ПО.,CAD/CAM/CAE/PLM,https://tflex.com/
OpenCascade,Компас API,Программный интерфейс для автоматизации и интеграции систем КОМПАС-3D с другим ПО.,CAD/CAM/CAE/PLM,https://ascon.ru/
OpenEdX,Stepik PRO,"Премиум-версия платформы Stepik с расширенной аналитикой, поддержкой и функциями для бизнеса и ВУЗов.",Образование и LMS,https://stepik.org/
OpenFOAM,FlowVision,Программный комплекс для вычислительной гидродинамики (CFD) для моделирования задач течения жидкости и газа.,CAD/CAM/CAE/PLM,https://flowvision.ru/
OpenFOAM,ЛОГОС CFD,Модуль вычислительной гидродинамики (Computational Fluid Dynamics) в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
OpenModelica,ЛОГОС Modelica,Поддержка языка Modelica для моделирования сложных физических систем в ЛОГОС.,CAD/CAM/CAE/PLM,https://logos-engineering.ru/
OpenStack,SberCloud Advanced,Облачная инфраструктура и сервисы от Сбербанка.,Облачные платформы и инфраструктура,https://sbercloud.ru/
OpenStack,Selectel Cloud Platform,"Публичное облако от компании Selectel для размещения инфраструктуры, хранения данных и других сервисов.",Облачные платформы и инфраструктура,https://selectel.ru/
OpenStreetMap,NextGIS Open,Открытая и бесплатная ГИС-платформа для настольного использования и обработки пространственных данных.,Геоинформационные системы (ГИС),https://nextgis.com/
Oracle BI,RuData BI,Платформа бизнес-аналитики для визуализации данных и поддержки принятия решений.,Аналитика и BI,-
Oracle BI,Visiology BI,Решение для бизнес-аналитики (BI) и создания интерактивных дашбордов.,Аналитика и BI,https://visiology.ru/
Oracle Business Intelligence,Polymatica BI,"Модуль бизнес-аналитики платформы Polymatica для создания отчетов, дашбордов и визуализации данных.",Аналитика и BI,https://polymatica.com/
Oracle Business Intelligence,Visiology BI,Решение для бизнес-аналитики (BI) и создания интерактивных дашбордов.,Аналитика и BI,https://visiology.ru/
Oracle Cerner Command Center,1С:Здравоохранение,"Семейство программных продуктов для оптимизации работы системы здравоохранения. Они включают в себя инструменты для учёта пациентов, медицинских карт, записи на приём, а также для контроля над продажей, хранением и списанием лекарств.",Здравоохранение и медицина,https://1c.ru/
Oracle Cerner Command Center,Галактика Медицина,Отраслевое решение для автоматизации медицинских учреждений и клиник.,Здравоохранение и медицина,https://galaktika.ru/
Oracle Cloud for Defense,Ростелеком Secure,Пакет сервисов и решений для кибербезопасности от Ростелекома.,Безопасность,https://rt.ru/
Oracle Cloud for Defense,СберCloud Protect,Решения для безопасности в облаке Сбера.,Безопасность,https://sbercloud.ru/
Oracle Database,ClickHouse,"Высокопроизводительная система управления базами данных, ориентированная на онлайн-аналитическую обработку (OLAP).",Базы данных,https://clickhouse.com/
Oracle Database,Postgres Pro,Российская версия системы управления базами данных PostgreSQL с дополнительными оптимизациями и функциями.,Базы данных,https://postgrespro.ru/
Oracle Database,Линтер,Статический анализатор кода для поиска ошибок и уязвимостей в программном обеспечении.,Средства разработки,-
Oracle E-Business Suite,Галактика ERP,Комплексная система управления ресурсами предприятия (ERP) для крупного и среднего бизнеса.,ERP,https://galaktika.ru/
Oracle E-Business Suite,Парус 8,"Система управления предприятием (ERP) для автоматизации учета, планирования и оперативного управления.",Управление бизнесом,https://parus.ru/
Oracle Financials,1С:Финансы,"Программа для комплексного управления финансовыми потоками, учета и планирования бюджета компании.",Бухгалтерия и финансы,https://1c.ru/
Oracle Financials,Галактика Финансы,"Модуль для управления финансовыми потоками, учета и планирования.",Бухгалтерия и финансы,https://galaktika.ru/
Oracle FLEXCUBE,Diasoft FA#,"Платформа для автоматизации деятельности финансовых организаций, включая банки и страховые компании.",Управление бизнесом,https://diasoft.com/
Oracle FLEXCUBE,Бисквит,"Сервис для управления проектами и задачами, возможно, с фокусом на креативные индустрии.","Другое (офисные пакеты, утилиты и пр.)",-
Oracle Hyperion,PlanDesigner,Инструмент для проектирования и визуализации планировок помещений и расстановки мебели.,Управление проектами,-
Oracle Hyperion,Visiology Planning,"Система для бюджетного планирования, прогнозирования и консолидации.",Аналитика и BI,https://visiology.ru/
Oracle Insurance,Diasoft Insurance,Комплексное решение для автоматизации всех бизнес-процессов страховых компаний.,Страхование,https://diasoft.com/
Oracle Insurance,Галактика Страхование,Отраслевое решение для автоматизации деятельности страховых компаний.,Страхование,https://galaktika.ru/
Oracle Logistics,1С:Логистика,Эти системы помогают контролировать и оптимизировать весь цикл операций с товарами: от их поступления на склад до своевременной доставки потребителю.,Логистика и WMS,https://1c.ru/
Oracle Logistics,Логистика Pro,"Программный комплекс для автоматизации логистики, управления складом и транспортом.",Логистика и WMS,-
Oracle PeopleSoft,1С:Зарплата и кадры,"Программное решение для автоматизации кадрового учёта, управления персоналом и расчёта заработной платы.",Управление персоналом (HR),https://1c.ru/
Oracle PeopleSoft,Босс-Кадровик,"Программа для автоматизации кадрового учета, расчета зарплаты и подготовки отчетности в соответствии с российским законодательством.",Управление персоналом (HR),-
Oracle Primavera,1С:Управление проектами,"Инструмент для планирования, контроля и управления проектами любого масштаба в рамках предприятия.",Управление проектами,https://1c.ru/
Oracle Primavera,Spider Project,"Система управления проектами, портфелями и ресурсами для крупного бизнеса и государственных заказов.",Управление проектами,https://spiderproject.ru/
Oracle Primavera Construction,Sablono RU,Версия RuTube для создателей контента (блогеров) с расширенными возможностями монетизации и аналитики.,CAD/CAM/CAE/PLM,-
Oracle Primavera Construction,Spider Project,"Система управления проектами, портфелями и ресурсами для крупного бизнеса и государственных заказов.",Управление проектами,https://spiderproject.ru/
Oracle Procurement Cloud,Сбер АСТ,Электронная торговая площадка для государственных и коммерческих закупок.,Управление бизнесом,https://sberbank.ru/
Oracle Procurement Cloud,ТендерПро,Система для поиска и участия в государственных и коммерческих закупках (тендерах).,Управление бизнесом,https://tender.pro/
Oracle SCM Cloud,Cleverence Cloud,"Облачное решение для автоматизации складской и розничной логистики, управления мобильными сотрудниками.",Облачные платформы и инфраструктура,https://cleverence.ru/
Oracle SCM Cloud,Логистика Pro Cloud,"Облачная версия системы ""Логистика Pro"".",Логистика и WMS,-
OSIsoft PI System,SCADA Trace Mode,Универсальная SCADA-система для сбора данных и диспетчерского управления технологическими процессами.,Управление бизнесом,https://tracenode.com/
OSIsoft PI System,Энергомониторинг RuEnergy,"Система для мониторинга и учета потребления энергоресурсов (электроэнергия, тепло, вода, газ).",Управление бизнесом,-
Outlook Exchange Server,CommuniGate Pro,"Серверное ПО для организации корпоративной коммуникации: почта, календари, контакты, видеоконференции и VoIP.",Коммуникации и коллаборация,https://communigate.com/
Outlook Exchange Server,Почтовый Сервер МойОфис,Серверное решение для развертывания корпоративной почтовой системы от МойОфис.,"Другое (офисные пакеты, утилиты и пр.)",https://myoffice.ru/
Palantir Foundry,RuData Fusion,"Решение для финансового анализа, планирования и консолидации отчетности.",Аналитика и BI,-
Palantir Foundry,Сбер Аналитика,Платформа для бизнес-аналитики и анализа данных от Сбера.,Аналитика и BI,https://sberbank.ru/
Palantir Gotham,RuAnalytica,"Платформа для анализа данных и бизнес-аналитики, ориентированная на российский рынок.",Аналитика и BI,-
Palantir Gotham,Сфера Аналитика,"Система бизнес-аналитики и отчетности, возможно, отраслевая.",Аналитика и BI,-
Palo Alto Cortex,Positive Technologies MaxPatrol,Система для управления уязвимостями и соответствия требованиям стандартов безопасности.,Безопасность,https://ptsecurity.com/
Palo Alto Networks,Positive Technologies MaxPatrol,Система для управления уязвимостями и соответствия требованиям стандартов безопасности.,Безопасность,https://ptsecurity.com/
PayPal,VK Pay,Платежный сервис и электронный кошелек внутри экосистемы VK.,Электронная коммерция и платежи,https://vk.com/
PayPal,ЮMoney,Электронный кошелек и платежная система (ранее Яндекс.Деньги).,Электронная коммерция и платежи,https://yoomoney.ru/
Philips IntelliSpace,МедКонтроль,Система для контроля качества медицинской помощи и управления клиническими процессами.,Здравоохранение и медицина,-
Philips IntelliSpace,Телемедика,Платформа для оказания удаленных медицинских консультаций (телемедицина).,Здравоохранение и медицина,-
Photoshop Lightroom,Movavi Photo Manager,"Программа для организации, сортировки и базового редактирования коллекций фотографий.",Мультимедиа и графика,https://www.movavi.ru/
Power BI,RuData BI,Платформа бизнес-аналитики для визуализации данных и поддержки принятия решений.,Аналитика и BI,-
Power BI,Платформа Visiology,Базовая платформа для бизнес-аналитики и визуализации данных от компании Visiology.,Аналитика и BI,https://visiology.ru/
Power BI Dataflows,RuData BI Flow,Облачная версия платформы бизнес-аналитики RuData.,Аналитика и BI,-
Power BI Dataflows,Visiology Flow,Модуль для автоматизации бизнес-процессов на основе данных.,Аналитика и BI,https://visiology.ru/
Power BI Service,RuData BI Cloud,Платформа бизнес-аналитики для визуализации данных и поддержки принятия решений.,Аналитика и BI,-
Primavera,Spider Project,"Система управления проектами, портфелями и ресурсами для крупного бизнеса и государственных заказов.",Управление проектами,https://spiderproject.ru/
Pro Tools,Ardour (RU),Российская локализация или сборка профессиональной цифровой аудио рабочей станции (DAW) с открытым исходным кодом.,Мультимедиа и графика,https://ardour.org/
Pro Tools,Sound Forge Pro,Профессиональная версия аудиоредактора Sound Forge с расширенным набором инструментов.,Мультимедиа и графика,https://magix.com/
PTC Creo,T-FLEX,Семейство систем автоматизированного проектирования и управления (CAD/CAM/CAE/PDM/PLM).,CAD/CAM/CAE/PLM,https://tflex.com/
PTC Creo,Компас-3D,Российская система трехмерного твердотельного параметрического моделирования (САПР).,CAD/CAM/CAE/PLM,https://ascon.ru/
PTC ThingWorx,Positive IoT,Платформа для мониторинга и обеспечения безопасности интернета вещей (IoT).,Безопасность,https://ptsecurity.com/
PTC ThingWorx,МТС IoT Платформа,"Комплексное решение для построения IoT-проектов, включая подключение устройств, сбор данных и аналитику.",Облачные платформы и инфраструктура,https://mts.ru/
PTC Windchill,T-FLEX PLM,Система управления жизненным циклом изделия (PLM).,CAD/CAM/CAE/PLM,https://tflex.com/
PTC Windchill,ЛОЦМАН:PLM,"Полное название PLM-системы ""ЛОЦМАН"" для управления жизненным циклом изделий.",CAD/CAM/CAE/PLM,https://lotzman.ru/
PyCharm,Thonny (рос. версия),"Российская версия простой IDE для начинающих программистов, изучающих язык Python.",Средства разработки,https://thonny.org/
PyCharm,Wing IDE,Среда разработки (IDE) для языка Python с мощным отладчиком и поддержкой удаленной разработки.,Средства разработки,https://wingware.com/
PyTorch,AI Hub RU,"Российский каталог и платформа для работы с моделями искусственного интеллекта, их распространения и использования.",Облачные платформы и инфраструктура,-
PyTorch,OpenNetLab,Платформа или сообщество для исследований и разработок в области компьютерных сетей и распределенных систем.,Средства разработки,-
PyTorch,SberTorch,Библиотеки и сервисы для обработки естественного языка (NLP) от Сбера.,Средства разработки,https://sbercloud.ru/
QGIS,NextGIS,Платформа для разработки и использования геоинформационных систем (ГИС) и веб-карт.,Геоинформационные системы (ГИС),https://nextgis.com/
QGIS,ГеоПлан,"Программа для создания геоподосновы, генпланов и выполнения инженерно-геодезических задач.",Геоинформационные системы (ГИС),-
QuickBooks,1С:Бухгалтерия,Программа для автоматизации бухгалтерского и налогового учёта,Бухгалтерия и финансы,https://1c.ru/
QuickBooks,БухСофт,"Программы для автоматизации бухгалтерского и налогового учета, подготовки отчетности.",Бухгалтерия и финансы,-
Reddit,Pikabu,"Популярная российская платформа для блогов и социальных новостей, где пользователи публикуют и обсуждают контент.","Другое (офисные пакеты, утилиты и пр.)",https://pikabu.ru/
Refinitiv Eikon,Finam Terminal,Торговый терминал для частных инвесторов и трейдеров для работы на фондовом и валютном рынках.,Аналитика и BI,https://www.finam.ru/
Refinitiv Eikon,RuMarket,Программный комплекс для автоматизации логистики и управления цепями поставок.,Электронная коммерция и платежи,-
Revit MEP,nanoCAD MEP,"Специализированное решение для проектирования инженерных систем: отопления, вентиляции, водоснабжения и электроснабжения.",CAD/CAM/CAE/PLM,https://nanocad.ru/
